time_stamp,loc_id,num_of_people
2017-11-01 02,18,169
2017-11-01 02,19,81
2017-11-01 02,20,16
2017-11-01 02,21,376
2017-11-01 02,23,573
2017-11-01 02,24,2
2017-11-01 02,25,253
2017-11-01 02,26,8
2017-11-01 02,27,10
2017-11-01 02,28,38
2017-11-01 02,29,4
2017-11-01 02,30,235
2017-11-01 02,31,60
2017-11-01 02,32,4
2017-11-01 02,33,13
2017-11-01 03,1,320
2017-11-01 03,2,626
2017-11-01 03,3,91
2017-11-01 03,4,68
2017-11-01 03,5,185
2017-11-01 03,6,120
2017-11-01 03,7,78
2017-11-01 03,8,120
2017-11-01 03,9,93
2017-11-01 03,10,4
2017-11-01 03,11,166
2017-11-01 03,12,13
2017-11-01 03,13,17
2017-11-01 03,14,78
2017-11-01 03,15,9
2017-11-01 03,16,7
2017-11-01 03,17,50
2017-11-01 03,18,264
2017-11-01 03,19,80
2017-11-01 03,20,14
2017-11-01 03,21,234
2017-11-01 03,23,584
2017-11-01 03,24,2
2017-11-01 03,25,200
2017-11-01 03,26,10
2017-11-01 03,27,295
2017-11-01 03,28,42
2017-11-01 03,29,3
2017-11-01 03,30,292
2017-11-01 03,31,75
2017-11-01 03,32,3
2017-11-01 03,33,83
2017-11-01 04,1,441
2017-11-01 04,2,1248
2017-11-01 04,3,88
2017-11-01 04,4,64
2017-11-01 04,5,197
2017-11-01 04,6,230
2017-11-01 04,7,47
2017-11-01 04,8,58
2017-11-01 04,9,89
2017-11-01 04,10,8
2017-11-01 04,11,180
2017-11-01 04,12,36
2017-11-01 04,13,15
2017-11-01 04,14,71
2017-11-01 04,15,9
2017-11-01 04,16,7
2017-11-01 04,17,61
2017-11-01 04,18,296
2017-11-01 04,19,70
2017-11-01 04,20,18
2017-11-01 04,21,283
2017-11-01 04,23,563
2017-11-01 04,24,4
2017-11-01 04,25,223
2017-11-01 04,26,12
2017-11-01 04,27,712
2017-11-01 04,28,50
2017-11-01 04,29,15
2017-11-01 04,30,335
2017-11-01 04,31,97
2017-11-01 04,32,2
2017-11-01 04,33,144
2017-11-01 05,1,348
2017-11-01 05,2,1151
2017-11-01 05,3,79
2017-11-01 05,4,92
2017-11-01 05,5,204
2017-11-01 05,6,226
2017-11-01 05,7,55
2017-11-01 05,8,152
2017-11-01 05,9,110
2017-11-01 05,10,23
2017-11-01 05,11,162
2017-11-01 05,12,154
2017-11-01 05,13,29
2017-11-01 05,14,94
2017-11-01 05,15,16
2017-11-01 05,16,11
2017-11-01 05,17,56
2017-11-01 05,18,249
2017-11-01 05,19,89
2017-11-01 05,20,24
2017-11-01 05,21,403
2017-11-01 05,22,1
2017-11-01 05,23,653
2017-11-01 05,24,5
2017-11-01 05,25,221
2017-11-01 05,26,22
2017-11-01 05,27,708
2017-11-01 05,28,53
2017-11-01 05,29,34
2017-11-01 05,30,326
2017-11-01 05,31,90
2017-11-01 05,32,7
2017-11-01 05,33,189
2017-11-01 06,1,381
2017-11-01 06,2,511
2017-11-01 06,3,176
2017-11-01 06,4,111
2017-11-01 06,5,262
2017-11-01 06,6,237
2017-11-01 06,7,98
2017-11-01 06,8,387
2017-11-01 06,9,140
2017-11-01 06,10,188
2017-11-01 06,11,198
2017-11-01 06,12,380
2017-11-01 06,13,47
2017-11-01 06,14,97
2017-11-01 06,15,33
2017-11-01 06,16,45
2017-11-01 06,17,199
2017-11-01 06,18,215
2017-11-01 06,19,155
2017-11-01 06,20,37
2017-11-01 06,21,244
2017-11-01 06,22,11
2017-11-01 06,23,413
2017-11-01 06,24,171
2017-11-01 06,25,210
2017-11-01 06,26,60
2017-11-01 06,27,747
2017-11-01 06,28,163
2017-11-01 06,29,252
2017-11-01 06,30,341
2017-11-01 06,31,135
2017-11-01 06,32,62
2017-11-01 06,33,281
2017-11-01 07,1,691
2017-11-01 07,2,743
2017-11-01 07,3,951
2017-11-01 07,4,253
2017-11-01 07,5,570
2017-11-01 07,6,465
2017-11-01 07,7,297
2017-11-01 07,8,2401
2017-11-01 07,9,291
2017-11-01 07,10,1206
2017-11-01 07,11,612
2017-11-01 07,12,2604
2017-11-01 07,13,320
2017-11-01 07,14,331
2017-11-01 07,15,179
2017-11-01 07,16,358
2017-11-01 07,17,634
2017-11-01 07,18,398
2017-11-01 07,19,725
2017-11-01 07,20,194
2017-11-01 07,21,314
2017-11-01 07,22,297
2017-11-01 07,23,528
2017-11-01 07,24,601
2017-11-01 07,25,348
2017-11-01 07,26,415
2017-11-01 07,27,933
2017-11-01 07,28,523
2017-11-01 07,29,1488
2017-11-01 07,30,553
2017-11-01 07,31,917
2017-11-01 07,32,306
2017-11-01 07,33,548
2017-11-01 08,1,893
2017-11-01 08,2,514
2017-11-01 08,3,1386
2017-11-01 08,4,526
2017-11-01 08,5,724
2017-11-01 08,6,580
2017-11-01 08,7,301
2017-11-01 08,8,3741
2017-11-01 08,9,233
2017-11-01 08,10,2274
2017-11-01 08,11,518
2017-11-01 08,12,4217
2017-11-01 08,13,531
2017-11-01 08,14,611
2017-11-01 08,15,191
2017-11-01 08,16,631
2017-11-01 08,17,895
2017-11-01 08,18,461
2017-11-01 08,19,452
2017-11-01 08,20,1499
2017-11-01 08,21,677
2017-11-01 08,22,389
2017-11-01 08,23,389
2017-11-01 08,24,853
2017-11-01 08,25,850
2017-11-01 08,26,526
2017-11-01 08,27,784
2017-11-01 08,28,839
2017-11-01 08,29,2661
2017-11-01 08,30,954
2017-11-01 08,31,1262
2017-11-01 08,32,533
2017-11-01 08,33,460
2017-11-01 09,1,594
2017-11-01 09,2,546
2017-11-01 09,3,1103
2017-11-01 09,4,494
2017-11-01 09,5,641
2017-11-01 09,6,633
2017-11-01 09,7,328
2017-11-01 09,8,2630
2017-11-01 09,9,311
2017-11-01 09,10,832
2017-11-01 09,11,529
2017-11-01 09,12,2927
2017-11-01 09,13,347
2017-11-01 09,14,721
2017-11-01 09,15,531
2017-11-01 09,16,849
2017-11-01 09,17,840
2017-11-01 09,18,349
2017-11-01 09,19,494
2017-11-01 09,20,1713
2017-11-01 09,21,689
2017-11-01 09,22,670
2017-11-01 09,23,262
2017-11-01 09,24,1472
2017-11-01 09,25,884
2017-11-01 09,26,418
2017-11-01 09,27,1272
2017-11-01 09,28,752
2017-11-01 09,29,1452
2017-11-01 09,30,517
2017-11-01 09,31,1158
2017-11-01 09,32,441
2017-11-01 09,33,925
2017-11-01 10,1,427
2017-11-01 10,2,433
2017-11-01 10,3,799
2017-11-01 10,4,353
2017-11-01 10,5,423
2017-11-01 10,6,416
2017-11-01 10,7,215
2017-11-01 10,8,1779
2017-11-01 10,9,165
2017-11-01 10,10,606
2017-11-01 10,11,535
2017-11-01 10,12,1925
2017-11-01 10,13,272
2017-11-01 10,14,582
2017-11-01 10,15,436
2017-11-01 10,16,710
2017-11-01 10,17,667
2017-11-01 10,18,251
2017-11-01 10,19,420
2017-11-01 10,20,1221
2017-11-01 10,21,469
2017-11-01 10,22,408
2017-11-01 10,23,272
2017-11-01 10,24,1072
2017-11-01 10,25,635
2017-11-01 10,26,368
2017-11-01 10,27,1268
2017-11-01 10,28,551
2017-11-01 10,29,897
2017-11-01 10,30,401
2017-11-01 10,31,789
2017-11-01 10,32,293
2017-11-01 10,33,1211
2017-11-01 11,1,725
2017-11-01 11,2,633
2017-11-01 11,3,1195
2017-11-01 11,4,736
2017-11-01 11,5,720
2017-11-01 11,6,827
2017-11-01 11,7,376
2017-11-01 11,8,5526
2017-11-01 11,9,247
2017-11-01 11,10,3247
2017-11-01 11,11,855
2017-11-01 11,12,5604
2017-11-01 11,13,371
2017-11-01 11,14,671
2017-11-01 11,15,490
2017-11-01 11,16,948
2017-11-01 11,17,1299
2017-11-01 11,18,478
2017-11-01 11,19,524
2017-11-01 11,20,2031
2017-11-01 11,21,958
2017-11-01 11,22,496
2017-11-01 11,23,521
2017-11-01 11,24,1546
2017-11-01 11,25,1255
2017-11-01 11,26,478
2017-11-01 11,27,968
2017-11-01 11,28,1106
2017-11-01 11,29,3244
2017-11-01 11,30,862
2017-11-01 11,31,1513
2017-11-01 11,32,509
2017-11-01 11,33,928
2017-11-01 12,1,1192
2017-11-01 12,2,1307
2017-11-01 12,3,2498
2017-11-01 12,4,1279
2017-11-01 12,5,1404
2017-11-01 12,6,1584
2017-11-01 12,7,649
2017-11-01 12,8,7816
2017-11-01 12,9,521
2017-11-01 12,10,5096
2017-11-01 12,11,1388
2017-11-01 12,12,8788
2017-11-01 12,13,687
2017-11-01 12,14,738
2017-11-01 12,15,429
2017-11-01 12,16,996
2017-11-01 12,17,1767
2017-11-01 12,18,547
2017-11-01 12,19,1070
2017-11-01 12,20,1696
2017-11-01 12,21,1474
2017-11-01 12,22,427
2017-11-01 12,23,782
2017-11-01 12,24,1572
2017-11-01 12,25,1919
2017-11-01 12,26,912
2017-11-01 12,27,856
2017-11-01 12,28,1439
2017-11-01 12,29,4714
2017-11-01 12,30,1004
2017-11-01 12,31,2352
2017-11-01 12,32,1042
2017-11-01 12,33,853
2017-11-01 13,1,917
2017-11-01 13,2,716
2017-11-01 13,3,1598
2017-11-01 13,4,643
2017-11-01 13,5,1073
2017-11-01 13,6,792
2017-11-01 13,7,441
2017-11-01 13,8,3460
2017-11-01 13,9,336
2017-11-01 13,10,1869
2017-11-01 13,11,649
2017-11-01 13,12,3543
2017-11-01 13,13,444
2017-11-01 13,14,792
2017-11-01 13,15,370
2017-11-01 13,16,856
2017-11-01 13,17,902
2017-11-01 13,18,725
2017-11-01 13,19,572
2017-11-01 13,20,1989
2017-11-01 13,21,893
2017-11-01 13,22,180
2017-11-01 13,23,418
2017-11-01 13,24,1467
2017-11-01 13,25,1241
2017-11-01 13,26,596
2017-11-01 13,27,761
2017-11-01 13,28,731
2017-11-01 13,29,1912
2017-11-01 13,30,815
2017-11-01 13,31,1405
2017-11-01 13,32,640
2017-11-01 13,33,769
2017-11-01 14,1,521
2017-11-01 14,2,674
2017-11-01 14,3,1416
2017-11-01 14,4,668
2017-11-01 14,5,579
2017-11-01 14,6,756
2017-11-01 14,7,258
2017-11-01 14,8,2460
2017-11-01 14,9,220
2017-11-01 14,10,830
2017-11-01 14,11,619
2017-11-01 14,12,2354
2017-11-01 14,13,425
2017-11-01 14,14,550
2017-11-01 14,15,475
2017-11-01 14,16,593
2017-11-01 14,17,844
2017-11-01 14,18,521
2017-11-01 14,19,505
2017-11-01 14,20,2979
2017-11-01 14,21,871
2017-11-01 14,22,329
2017-11-01 14,23,409
2017-11-01 14,24,885
2017-11-01 14,25,1136
2017-11-01 14,26,530
2017-11-01 14,27,596
2017-11-01 14,28,776
2017-11-01 14,29,924
2017-11-01 14,30,574
2017-11-01 14,31,1127
2017-11-01 14,32,489
2017-11-01 14,33,584
2017-11-01 15,1,611
2017-11-01 15,2,534
2017-11-01 15,3,1111
2017-11-01 15,4,425
2017-11-01 15,5,593
2017-11-01 15,6,525
2017-11-01 15,7,416
2017-11-01 15,8,2257
2017-11-01 15,9,296
2017-11-01 15,10,807
2017-11-01 15,11,529
2017-11-01 15,12,2243
2017-11-01 15,13,291
2017-11-01 15,14,551
2017-11-01 15,15,230
2017-11-01 15,16,490
2017-11-01 15,17,699
2017-11-01 15,18,326
2017-11-01 15,19,422
2017-11-01 15,20,2593
2017-11-01 15,21,496
2017-11-01 15,22,339
2017-11-01 15,23,274
2017-11-01 15,24,1063
2017-11-01 15,25,639
2017-11-01 15,26,473
2017-11-01 15,27,791
2017-11-01 15,28,627
2017-11-01 15,29,907
2017-11-01 15,30,437
2017-11-01 15,31,1004
2017-11-01 15,32,338
2017-11-01 15,33,847
2017-11-01 16,1,741
2017-11-01 16,2,664
2017-11-01 16,3,840
2017-11-01 16,4,425
2017-11-01 16,5,676
2017-11-01 16,6,452
2017-11-01 16,7,300
2017-11-01 16,8,2427
2017-11-01 16,9,256
2017-11-01 16,10,748
2017-11-01 16,11,395
2017-11-01 16,12,2292
2017-11-01 16,13,316
2017-11-01 16,14,634
2017-11-01 16,15,202
2017-11-01 16,16,560
2017-11-01 16,17,521
2017-11-01 16,18,307
2017-11-01 16,19,488
2017-11-01 16,20,1998
2017-11-01 16,21,593
2017-11-01 16,22,220
2017-11-01 16,23,242
2017-11-01 16,24,1175
2017-11-01 16,25,733
2017-11-01 16,26,550
2017-11-01 16,27,991
2017-11-01 16,28,438
2017-11-01 16,29,858
2017-11-01 16,30,495
2017-11-01 16,31,890
2017-11-01 16,32,299
2017-11-01 16,33,982
2017-11-01 17,1,962
2017-11-01 17,2,868
2017-11-01 17,3,1444
2017-11-01 17,4,901
2017-11-01 17,5,962
2017-11-01 17,6,1082
2017-11-01 17,7,501
2017-11-01 17,8,5898
2017-11-01 17,9,347
2017-11-01 17,10,3179
2017-11-01 17,11,1214
2017-11-01 17,12,5975
2017-11-01 17,13,459
2017-11-01 17,14,823
2017-11-01 17,15,171
2017-11-01 17,16,815
2017-11-01 17,17,1144
2017-11-01 17,18,501
2017-11-01 17,19,765
2017-11-01 17,20,2005
2017-11-01 17,21,1138
2017-11-01 17,22,361
2017-11-01 17,23,758
2017-11-01 17,24,1819
2017-11-01 17,25,1277
2017-11-01 17,26,702
2017-11-01 17,27,752
2017-11-01 17,28,1068
2017-11-01 17,29,2934
2017-11-01 17,30,876
2017-11-01 17,31,1546
2017-11-01 17,32,559
2017-11-01 17,33,818
2017-11-01 18,1,835
2017-11-01 18,2,863
2017-11-01 18,3,1712
2017-11-01 18,4,1108
2017-11-01 18,5,886
2017-11-01 18,6,1264
2017-11-01 18,7,628
2017-11-01 18,8,6077
2017-11-01 18,9,476
2017-11-01 18,10,2430
2017-11-01 18,11,937
2017-11-01 18,12,6255
2017-11-01 18,13,613
2017-11-01 18,14,626
2017-11-01 18,15,272
2017-11-01 18,16,583
2017-11-01 18,17,1511
2017-11-01 18,18,459
2017-11-01 18,19,824
2017-11-01 18,20,1584
2017-11-01 18,21,1477
2017-11-01 18,22,265
2017-11-01 18,23,592
2017-11-01 18,24,1276
2017-11-01 18,25,1588
2017-11-01 18,26,814
2017-11-01 18,27,435
2017-11-01 18,28,1255
2017-11-01 18,29,2392
2017-11-01 18,30,912
2017-11-01 18,31,1427
2017-11-01 18,32,791
2017-11-01 18,33,491
2017-11-01 19,1,480
2017-11-01 19,2,630
2017-11-01 19,3,1431
2017-11-01 19,4,750
2017-11-01 19,5,501
2017-11-01 19,6,786
2017-11-01 19,7,257
2017-11-01 19,8,3220
2017-11-01 19,9,195
2017-11-01 19,10,1304
2017-11-01 19,11,611
2017-11-01 19,12,3520
2017-11-01 19,13,340
2017-11-01 19,14,427
2017-11-01 19,15,200
2017-11-01 19,16,318
2017-11-01 19,17,934
2017-11-01 19,18,355
2017-11-01 19,19,567
2017-11-01 19,20,916
2017-11-01 19,21,863
2017-11-01 19,22,174
2017-11-01 19,23,512
2017-11-01 19,24,798
2017-11-01 19,25,972
2017-11-01 19,26,731
2017-11-01 19,27,349
2017-11-01 19,28,798
2017-11-01 19,29,1367
2017-11-01 19,30,588
2017-11-01 19,31,1279
2017-11-01 19,32,532
2017-11-01 19,33,358
2017-11-01 20,1,667
2017-11-01 20,2,496
2017-11-01 20,3,1186
2017-11-01 20,4,596
2017-11-01 20,5,639
2017-11-01 20,6,611
2017-11-01 20,7,288
2017-11-01 20,8,2091
2017-11-01 20,9,167
2017-11-01 20,10,1169
2017-11-01 20,11,468
2017-11-01 20,12,2170
2017-11-01 20,13,369
2017-11-01 20,14,444
2017-11-01 20,15,170
2017-11-01 20,16,362
2017-11-01 20,17,926
2017-11-01 20,18,395
2017-11-01 20,19,482
2017-11-01 20,20,823
2017-11-01 20,21,651
2017-11-01 20,22,187
2017-11-01 20,23,337
2017-11-01 20,24,609
2017-11-01 20,25,851
2017-11-01 20,26,609
2017-11-01 20,27,314
2017-11-01 20,28,785
2017-11-01 20,29,1369
2017-11-01 20,30,664
2017-11-01 20,31,1088
2017-11-01 20,32,406
2017-11-01 20,33,331
2017-11-01 21,1,759
2017-11-01 21,2,572
2017-11-01 21,3,1129
2017-11-01 21,4,716
2017-11-01 21,5,752
2017-11-01 21,6,594
2017-11-01 21,7,270
2017-11-01 21,8,1751
2017-11-01 21,9,198
2017-11-01 21,10,597
2017-11-01 21,11,499
2017-11-01 21,12,1659
2017-11-01 21,13,442
2017-11-01 21,14,426
2017-11-01 21,15,173
2017-11-01 21,16,383
2017-11-01 21,17,1071
2017-11-01 21,18,412
2017-11-01 21,19,570
2017-11-01 21,20,821
2017-11-01 21,21,767
2017-11-01 21,22,238
2017-11-01 21,23,393
2017-11-01 21,24,821
2017-11-01 21,25,893
2017-11-01 21,26,490
2017-11-01 21,27,319
2017-11-01 21,28,875
2017-11-01 21,29,964
2017-11-01 21,30,687
2017-11-01 21,31,1021
2017-11-01 21,32,405
2017-11-01 21,33,339
2017-11-01 22,1,738
2017-11-01 22,2,683
2017-11-01 22,3,1228
2017-11-01 22,4,874
2017-11-01 22,5,686
2017-11-01 22,6,963
2017-11-01 22,7,283
2017-11-01 22,8,1876
2017-11-01 22,9,212
2017-11-01 22,10,350
2017-11-01 22,11,796
2017-11-01 22,12,1771
2017-11-01 22,13,497
2017-11-01 22,14,301
2017-11-01 22,15,210
2017-11-01 22,16,250
2017-11-01 22,17,1062
2017-11-01 22,18,465
2017-11-01 22,19,711
2017-11-01 22,20,843
2017-11-01 22,21,1056
2017-11-01 22,22,137
2017-11-01 22,23,458
2017-11-01 22,24,582
2017-11-01 22,25,1216
2017-11-01 22,26,491
2017-11-01 22,27,286
2017-11-01 22,28,866
2017-11-01 22,29,565
2017-11-01 22,30,932
2017-11-01 22,31,1154
2017-11-01 22,32,489
2017-11-01 22,33,310
2017-11-01 23,1,406
2017-11-01 23,2,779
2017-11-01 23,3,599
2017-11-01 23,4,789
2017-11-01 23,5,528
2017-11-01 23,6,614
2017-11-01 23,7,233
2017-11-01 23,8,616
2017-11-01 23,9,482
2017-11-01 23,10,208
2017-11-01 23,11,635
2017-11-01 23,12,525
2017-11-01 23,13,333
2017-11-01 23,14,138
2017-11-01 23,15,54
2017-11-01 23,16,59
2017-11-01 23,17,845
2017-11-01 23,18,544
2017-11-01 23,19,510
2017-11-01 23,20,323
2017-11-01 23,21,682
2017-11-01 23,22,33
2017-11-01 23,23,749
2017-11-01 23,24,156
2017-11-01 23,25,352
2017-11-01 23,26,318
2017-11-01 23,27,45
2017-11-01 23,28,646
2017-11-01 23,29,278
2017-11-01 23,30,1053
2017-11-01 23,31,556
2017-11-01 23,32,219
2017-11-01 23,33,52
2017-11-02 00,1,810
2017-11-02 00,2,539
2017-11-02 00,3,77
2017-11-02 00,4,454
2017-11-02 00,5,440
2017-11-02 00,6,190
2017-11-02 00,7,297
2017-11-02 00,8,142
2017-11-02 00,9,579
2017-11-02 00,10,26
2017-11-02 00,11,421
2017-11-02 00,12,110
2017-11-02 00,13,91
2017-11-02 00,14,92
2017-11-02 00,15,8
2017-11-02 00,16,10
2017-11-02 00,17,262
2017-11-02 00,18,560
2017-11-02 00,19,381
2017-11-02 00,20,33
2017-11-02 00,21,532
2017-11-02 00,22,5
2017-11-02 00,23,782
2017-11-02 00,24,13
2017-11-02 00,25,679
2017-11-02 00,26,100
2017-11-02 00,27,13
2017-11-02 00,28,161
2017-11-02 00,29,35
2017-11-02 00,30,761
2017-11-02 00,31,136
2017-11-02 00,32,8
2017-11-02 00,33,22
2017-11-02 01,1,541
2017-11-02 01,2,979
2017-11-02 01,3,18
2017-11-02 01,4,417
2017-11-02 01,5,165
2017-11-02 01,6,183
2017-11-02 01,7,231
2017-11-02 01,8,12
2017-11-02 01,9,554
2017-11-02 01,10,9
2017-11-02 01,11,270
2017-11-02 01,12,22
2017-11-02 01,13,21
2017-11-02 01,14,71
2017-11-02 01,15,11
2017-11-02 01,16,4
2017-11-02 01,17,108
2017-11-02 01,18,557
2017-11-02 01,19,184
2017-11-02 01,20,19
2017-11-02 01,21,439
2017-11-02 01,22,3
2017-11-02 01,23,603
2017-11-02 01,24,2
2017-11-02 01,25,354
2017-11-02 01,26,30
2017-11-02 01,27,16
2017-11-02 01,28,90
2017-11-02 01,29,10
2017-11-02 01,30,365
2017-11-02 01,31,35
2017-11-02 01,32,2
2017-11-02 01,33,19
2017-11-02 02,1,290
2017-11-02 02,2,1015
2017-11-02 02,3,31
2017-11-02 02,4,402
2017-11-02 02,5,139
2017-11-02 02,6,141
2017-11-02 02,7,81
2017-11-02 02,8,16
2017-11-02 02,9,188
2017-11-02 02,10,10
2017-11-02 02,11,198
2017-11-02 02,12,17
2017-11-02 02,13,23
2017-11-02 02,14,76
2017-11-02 02,15,8
2017-11-02 02,16,6
2017-11-02 02,17,61
2017-11-02 02,18,392
2017-11-02 02,19,119
2017-11-02 02,20,16
2017-11-02 02,21,326
2017-11-02 02,22,3
2017-11-02 02,23,533
2017-11-02 02,24,5
2017-11-02 02,25,324
2017-11-02 02,26,22
2017-11-02 02,27,40
2017-11-02 02,28,52
2017-11-02 02,29,10
2017-11-02 02,30,302
2017-11-02 02,31,50
2017-11-02 02,32,2
2017-11-02 02,33,24
2017-11-02 03,1,282
2017-11-02 03,2,1263
2017-11-02 03,3,15
2017-11-02 03,4,386
2017-11-02 03,5,175
2017-11-02 03,6,137
2017-11-02 03,7,78
2017-11-02 03,8,30
2017-11-02 03,9,104
2017-11-02 03,10,4
2017-11-02 03,11,210
2017-11-02 03,12,22
2017-11-02 03,13,14
2017-11-02 03,14,73
2017-11-02 03,15,8
2017-11-02 03,16,5
2017-11-02 03,17,52
2017-11-02 03,18,317
2017-11-02 03,19,142
2017-11-02 03,20,28
2017-11-02 03,21,217
2017-11-02 03,22,3
2017-11-02 03,23,603
2017-11-02 03,24,3
2017-11-02 03,25,343
2017-11-02 03,26,27
2017-11-02 03,27,22
2017-11-02 03,28,75
2017-11-02 03,29,6
2017-11-02 03,30,201
2017-11-02 03,31,59
2017-11-02 03,32,1
2017-11-02 03,33,17
2017-11-02 04,1,249
2017-11-02 04,2,1122
2017-11-02 04,3,17
2017-11-02 04,4,359
2017-11-02 04,5,88
2017-11-02 04,6,133
2017-11-02 04,7,49
2017-11-02 04,8,22
2017-11-02 04,9,56
2017-11-02 04,10,17
2017-11-02 04,11,167
2017-11-02 04,12,22
2017-11-02 04,13,29
2017-11-02 04,14,77
2017-11-02 04,15,10
2017-11-02 04,16,4
2017-11-02 04,17,66
2017-11-02 04,18,259
2017-11-02 04,19,180
2017-11-02 04,20,15
2017-11-02 04,21,217
2017-11-02 04,22,4
2017-11-02 04,23,543
2017-11-02 04,24,4
2017-11-02 04,25,307
2017-11-02 04,26,58
2017-11-02 04,27,22
2017-11-02 04,28,95
2017-11-02 04,29,17
2017-11-02 04,30,233
2017-11-02 04,31,37
2017-11-02 04,32,2
2017-11-02 04,33,18
2017-11-02 05,1,307
2017-11-02 05,2,1189
2017-11-02 05,3,19
2017-11-02 05,4,445
2017-11-02 05,5,88
2017-11-02 05,6,150
2017-11-02 05,7,76
2017-11-02 05,8,64
2017-11-02 05,9,92
2017-11-02 05,10,22
2017-11-02 05,11,200
2017-11-02 05,12,62
2017-11-02 05,13,26
2017-11-02 05,14,75
2017-11-02 05,15,15
2017-11-02 05,16,7
2017-11-02 05,17,66
2017-11-02 05,18,370
2017-11-02 05,19,124
2017-11-02 05,20,20
2017-11-02 05,21,327
2017-11-02 05,22,5
2017-11-02 05,23,434
2017-11-02 05,24,14
2017-11-02 05,25,346
2017-11-02 05,26,43
2017-11-02 05,27,28
2017-11-02 05,28,123
2017-11-02 05,29,45
2017-11-02 05,30,288
2017-11-02 05,31,74
2017-11-02 05,32,8
2017-11-02 05,33,28
2017-11-02 06,1,267
2017-11-02 06,2,818
2017-11-02 06,3,143
2017-11-02 06,4,427
2017-11-02 06,5,137
2017-11-02 06,6,216
2017-11-02 06,7,89
2017-11-02 06,8,374
2017-11-02 06,9,95
2017-11-02 06,10,163
2017-11-02 06,11,240
2017-11-02 06,12,491
2017-11-02 06,13,63
2017-11-02 06,14,98
2017-11-02 06,15,21
2017-11-02 06,16,38
2017-11-02 06,17,319
2017-11-02 06,18,362
2017-11-02 06,19,251
2017-11-02 06,20,37
2017-11-02 06,21,278
2017-11-02 06,22,14
2017-11-02 06,23,316
2017-11-02 06,24,135
2017-11-02 06,25,242
2017-11-02 06,26,92
2017-11-02 06,27,99
2017-11-02 06,28,282
2017-11-02 06,29,224
2017-11-02 06,30,342
2017-11-02 06,31,160
2017-11-02 06,32,42
2017-11-02 06,33,95
2017-11-02 07,1,485
2017-11-02 07,2,805
2017-11-02 07,3,1095
2017-11-02 07,4,596
2017-11-02 07,5,434
2017-11-02 07,6,771
2017-11-02 07,7,328
2017-11-02 07,8,2641
2017-11-02 07,9,221
2017-11-02 07,10,1167
2017-11-02 07,11,922
2017-11-02 07,12,2944
2017-11-02 07,13,290
2017-11-02 07,14,393
2017-11-02 07,15,180
2017-11-02 07,16,379
2017-11-02 07,17,806
2017-11-02 07,18,275
2017-11-02 07,19,708
2017-11-02 07,20,228
2017-11-02 07,21,360
2017-11-02 07,22,410
2017-11-02 07,23,720
2017-11-02 07,24,658
2017-11-02 07,25,411
2017-11-02 07,26,426
2017-11-02 07,27,360
2017-11-02 07,28,701
2017-11-02 07,29,1448
2017-11-02 07,30,635
2017-11-02 07,31,1114
2017-11-02 07,32,359
2017-11-02 07,33,314
2017-11-02 08,1,907
2017-11-02 08,2,543
2017-11-02 08,3,1294
2017-11-02 08,4,698
2017-11-02 08,5,762
2017-11-02 08,6,622
2017-11-02 08,7,337
2017-11-02 08,8,3664
2017-11-02 08,9,200
2017-11-02 08,10,1882
